Row,Column,Value
0,0,11.520066
0,16,1.5705013
0,36,1.7600338
0,40,1.7600338
0,118,1.7600338
0,200,2.5724847
0,236,2.5724847
0,284,2.5724847
0,333,1.7600338
0,386,1.7600338
0,398,1.7600338
0,427,1.7600338
0,476,1.7600338
0,492,1.7600338
0,528,1.9999998
0,652,1.7600338
0,689,1.7600338
0,725,1.7600338
0,748,2.784782
0,794,1.7600338
0,831,1.7600338
0,841,1.5637686
0,870,1.7600338
0,953,1.7590289
0,1022,1.7600338
0,1100,1.7600338
0,1102,1.7600338
0,1134,1.7600338
0,1145,1.7600338
0,1183,1.7600338
0,1222,1.7600338
0,1251,1.7600338
0,1260,1.7600338
0,1276,1.5617673
0,1291,1.7600338
0,1307,1.8023634
0,1362,2.5093503
0,1370,1.7623658
0,1426,1.7600338
0,1473,1.7600338
0,1644,1.7600338
0,1722,1.9999998
0,1776,1.7493167
0,1882,1.7600338
0,1884,1.7600338
0,1898,1.7600338
0,1990,1.7600338
0,2057,1.7600338
0,2058,1.7600338
0,2064,1.7600338
0,2140,2.5724847
0,2165,1.7600338
0,2222,1.8023634
0,2279,1.9999998
0,2316,1.7229551
0,2410,1.7600338
0,2475,1.8523719
0,2485,1.5705013
0,2519,1.7600338
0,2650,1.703933
0,2659,1.7600338
0,2669,1.7600338
0,2682,1.7600338
0,2684,1.7600338
0,2831,2.5645232
0,2873,1.7600338
0,2923,1.7063055
0,2989,1.7600338
0,3020,1.7392824
0,3099,2.0
0,3127,1.7600338
0,3154,1.7600338
1,1,10.0
1,14,2.4425457
1,24,1.4444197
1,25,1.7572122
1,33,1.4428911
1,34,2.5258307
1,51,1.7392988
1,58,1.787646
1,61,1.7495719
1,74,1.5076219
1,82,1.7011516
1,88,1.8492951
1,108,1.7214823
1,116,1.4780817
1,132,1.7214823
1,139,1.5182436
1,142,1.4424723
1,148,1.5101838
1,160,1.7762587
1,180,2.2723012
1,192,1.4299705
1,203,1.4839627
1,212,1.4259942
1,232,1.7762587
1,233,2.5639048
1,268,1.7011516
1,285,1.7210631
1,289,1.410726
1,298,2.4428911
1,302,3.19027
1,305,2.0
1,327,1.4229327
1,331,1.4444197
1,338,1.7214091
1,363,1.4684312
1,398,1.4892294
1,423,1.787646
1,435,1.4756414
1,443,1.5091281
1,453,1.4932115
1,465,1.776259
1,498,1.7214091
1,504,1.4976678
1,508,1.7214823
1,510,3.4424725
1,516,1.4417926
1,540,1.5166295
1,550,1.7210636
1,551,1.7214823
1,552,1.4424723
1,559,1.4261638
1,561,2.571711
1,566,1.497741
1,568,1.566532
1,569,1.4110802
1,570,1.4110802
1,577,1.4455776
1,611,1.723312
1,616,2.4909434
1,626,1.436425
1,645,2.7214093
1,648,1.4311119
1,653,1.5404449
1,656,1.4291534
1,664,2.4491854
1,667,2.533277
1,685,1.4311119
1,690,1.4039371
1,695,1.4589206
1,697,1.7672799
1,705,1.7214823
1,711,1.4310386
1,740,1.4922311
1,754,1.7200701
1,773,1.7210634
1,774,1.7214823
1,777,1.4777093
1,781,1.4428911
1,786,2.431112
1,810,1.7011516
1,812,1.5189574
1,824,1.7210636
1,837,3.1991916
1,839,1.450501
1,862,1.4705327
1,863,1.5251462
1,896,1.751219
1,901,1.7279314
1,916,2.7210636
1,923,1.4424723
1,929,1.7762587
1,943,1.4444197
1,952,1.7446051
1,953,1.4259942
1,964,1.7412567
1,971,1.4524498
1,974,1.7688214
1,983,1.7597706
1,987,2.488343
1,989,2.241818
1,1003,2.7165074
1,1005,2.7214828
1,1029,1.4425457
1,1047,1.497741
1,1055,2.4414935
1,1057,1.5204116
1,1066,2.474255
1,1067,1.7045853
1,1071,1.7214823
1,1072,2.422215
1,1087,1.5101838
1,1095,2.0000002
1,1098,1.4444197
1,1103,1.4660872
1,1113,1.7045853
1,1129,1.4373326
1,1132,1.727703
1,1136,1.7512193
1,1148,1.4777093
1,1150,1.7210636
1,1164,1.4763192
1,1167,2.5258307
1,1176,1.7045853
1,1181,1.5670316
1,1193,1.4973223
1,1194,2.488689
1,1196,1.4844103
1,1201,1.4573758
1,1210,1.4780817
1,1227,1.5091281
1,1249,2.0000002
1,1259,3.226717
1,1270,1.4661244
1,1281,2.0
1,1283,2.72007
1,1295,1.7231455
1,1301,1.7096298
1,1308,1.4622598
1,1325,1.4365168
